Year,KM,FuelType,Engine,DriveType,Name,Price
2011,"91,098",Petrol,1800,Automatic,"Honda Civic Reborn 2011 VTi Prosmatec 1.8 i-VT...
7.1/10","2,075,000"
2019,"53,000",Petrol,1600,Automatic,Toyota Corolla  2019 Altis Automatic 1.6,"3,625,000"
2013,"72,000",Petrol,1800,Automatic,Honda Civic Rebirth 2013 Oriel Prosmatec UG fo...,"2,425,000"
2005,"56,455",Petrol,2700,Automatic,Toyota Prado 120 Series 2005 TX 2.7,6500000
2016,"52,000",Petrol,1300,Manual,Honda City  2016 Aspire 1.3 i-VTEC,"2,380,000"
2003,"173,000",Petrol,4700,Automatic,Lexus LX Series  2003 LX470,7500000
2020,"26,000",Petrol,1000,Automatic,Toyota Passo  2020 Moda G,3300000
2017,"81,810",Petrol,1300,Manual,"Honda City  2017 1.3 i-VTEC 
7.8/10","2,550,000"
2020,"4,351",Petrol,1000,Automatic,Daihatsu Rocky  2020,5000000
2020,"6,000",Petrol,660,Automatic,Daihatsu Mira  2020 L,"2,350,000"
2022,100,Petrol,1000,Automatic,KIA Picanto  2022 1.0 AT,"2,775,000"
2004,"78,000",Petrol,1500,Automatic,Honda Civic  2004 EXi Prosmatec,"1,760,000"
2018,"105,000",Petrol,1300,Manual,Toyota Corolla  2018 XLi VVTi,"2,670,000"
2017,"48,173",Hybrid,1800,Automatic,Toyota C-HR  2017,5500000
2012,"75,000",Petrol,1000,Manual,Suzuki Cultus  2012 EURO II,"1,410,000"
2011,"101,600",Petrol,1300,Manual,Toyota Corolla  2011 GLi 1.3 VVTi,"1,885,000"
2009,"286,000",Petrol,1000,Manual,Suzuki Alto  2009 VXR,"725,000"
2006,"180,000",Petrol,1800,Manual,Toyota Corolla 9th Generation 2006 Altis 1.8 f...,"1,485,000"
2003,"130,000",Petrol,0,Automatic,Toyota Premio  2003 F 1.5,"1,820,000"
2013,"136,000",Petrol,660,Automatic,Subaru Dias Wagon  2013 RS LIMITED,"1,250,000"
2008,"105,000",Petrol,1000,Automatic,Toyota Vitz  2008 B Intelligent Package 1.0 fo...,"1,650,000"
2005,"114,926",Diesel,3000,Automatic,Toyota Hilux  2005 D-4D Automatic,"3,950,000"
2014,"71,500",Petrol,1000,Automatic,Toyota Vitz  2014,"2,295,000"
2005,"68,000",Petrol,1300,Manual,Suzuki Baleno  2005 JXR,"995,000"
2021,"13,000",Petrol,1500,Automatic,DFSK Glory 580  2021 Pro,"4,875,000"
2003,"203,500",Petrol,1600,Automatic,Honda Civic  2003 VTi Oriel Prosmatec 1.6 for ...,"1,525,000"
2016,"83,000",Petrol,1300,Manual,Toyota Corolla  2016 GLi 1.3 VVTi,"2,490,000"
2014,"50,000",Petrol,660,Automatic,Daihatsu Mira  2014 X,1700000
2022,40,Petrol,1000,Manual,Suzuki Wagon R  2022 VXL,"2,325,000"
2018,"118,000",Petrol,1000,Manual,Suzuki Cultus  2018 VXR,"1,850,000"
2000,"400,000",Petrol,2000,Manual,Toyota Hiace  2000 GL,2100000
2017,"98,000",Petrol,1000,Manual,Suzuki Cultus  2017 Limited Edition,"1,350,000"
2015,"132,000",Petrol,1300,Manual,Toyota Corolla  2015 GLi 1.3 VVTi,2400000
2019,"74,190",Hybrid,1200,Automatic,Nissan Note  2019 E-Power Black Arrow Edition ...,"4,395,000"
2018,"35,000",Petrol,1000,Automatic,Toyota Vitz  2018 Jewela Smart Stop Package 1....,"3,350,000"
2019,"75,584",Hybrid,1200,Automatic,Nissan Note  2019 E-Power Black Arrow Edition ...,"4,295,000"
2019,"44,000",Petrol,1000,Automatic,Toyota Vitz  2019 F Limited II 1.0,"3,195,000"
2016,"95,345",Hybrid,1500,Automatic,Honda Vezel  2016 Hybrid Z,"5,195,000"
2019,"65,828",Petrol,660,Automatic,Daihatsu Move  2019 X Limited,"2,750,000"
2019,"84,055",Hybrid,660,Automatic,Suzuki Wagon R  2019 Hybrid FZ,"2,695,000"
2020,"3,000",Petrol,1500,Automatic,Mercedes Benz E Class  2020 E 180 Exclusive fo...,Call
2016,"32,000",Petrol,4600,Automatic,Toyota Land Cruiser  2016 ZX,"3,780,000"
2021,"10,000",Petrol,2500,Automatic,Hyundai Sonata  2021,8100000
2007,"183,000",Petrol,1000,Automatic,Toyota Vitz  2007 B 1.0,"1,550,000"
2005,"150,000",Petrol,1500,Manual,Honda Civic Eagle Eye 2005 EXi,1300000
2003,"173,000",Petrol,4700,Automatic,Lexus LX Series  2003 LX470,7500000
2021,"4,000",Petrol,1800,Automatic,Honda Civic  2021 1.8 i-VTEC CVT,"5,150,000"
2005,"41,000",Petrol,800,Manual,Suzuki Mehran  2005 VX,"520,000"
2018,"57,300",Petrol,1500,Automatic,Honda BR-V  2018 i-VTEC S,3100000
2016,"78,000",Petrol,1600,Automatic,Toyota Corolla  2016 Altis Automatic 1.6,"3,125,000"
2020,18,Petrol,1000,Manual,Suzuki Cultus  2020 VXL,2400000
2020,"4,153",Petrol,1000,Automatic,"Toyota Raize  2020  
8.4/10",5500000
2021,"1,200",Petrol,660,Automatic,Daihatsu Mira  2021 L,2700000
2020,"26,000",Petrol,1000,Automatic,Toyota Passo  2020 Moda G,3300000
2017,"81,810",Petrol,1300,Manual,"Honda City  2017 1.3 i-VTEC 
7.8/10","2,550,000"
2020,"4,351",Petrol,1000,Automatic,Daihatsu Rocky  2020,5000000
2020,"6,000",Petrol,660,Automatic,Daihatsu Mira  2020 L,"2,350,000"
2022,40,Diesel,2800,Automatic,Toyota Hilux  2022 Revo V Automatic 2.8,"9,650,000"
2016,"49,000",Hybrid,1500,Automatic,Honda Grace Hybrid 6th Generation 2016 DX for ...,3600000
2022,100,Petrol,1000,Automatic,KIA Picanto  2022 1.0 AT,"2,775,000"
2010,"148,000",Petrol,1800,Manual,Honda Civic Reborn 2010 VTi Oriel 1.8 i-VTEC f...,2000000
2004,"78,000",Petrol,1500,Automatic,Honda Civic  2004 EXi Prosmatec,"1,760,000"
2005,"138,000",Petrol,2000,Automatic,Toyota Premio  2005 G EX Package 2.0,2100000
2017,"56,000",Petrol,1000,Automatic,Toyota Vitz  2017 F 1.0,"2,720,000"
2018,"39,000",Petrol,1000,Manual,Suzuki Cultus  2018 VXR,"1,820,000"
1992,"100,000",Petrol,800,Manual,Suzuki Mehran  1992 VXR,"260,000"
2022,10,Petrol,660,Manual,Suzuki Alto  2022 VXR,"1,920,000"
2008,"180,000",Petrol,1300,Manual,Honda City  2008 i-DSI,"1,450,000"
2005,"40,000",Petrol,1000,Manual,Suzuki Cultus  2005 VXR,"1,250,000"
2019,"3,450",Petrol,1000,Automatic,Toyota Passo  2019 X L Package S,"3,385,000"
2020,"12,500",Petrol,1000,Automatic,Toyota Passo  2020 X S,3300000
2019,"2,500",Petrol,1000,Automatic,Toyota Vitz  2019,"3,825,000"
2019,"4,100",Petrol,1000,Automatic,Toyota Vitz  2019 F Limited 1.0,3800000
2022,30,Petrol,0,Automatic,Toyota Yaris  2022 ATIV X CVT 1.5,"3,790,000"
2022,40,Petrol,1200,Automatic,Peugeot Other  2022,5900000
2005,"136,000",Petrol,1000,Manual,Suzuki Cultus  2005 VXR,"750,000"
2007,"89,000",Petrol,1800,Automatic,Mercedes Benz C Class  2007 C200,"3,150,000"
2021,"8,000",Petrol,2700,Automatic,Toyota Fortuner  2021 2.7 VVTi,"1,140,000"
2017,"69,000",Petrol,1500,Automatic,Honda Vezel  2017 Hybrid Z Honda Sensing  for ...,Call
2006,"200,000",Petrol,1800,Automatic,Honda Civic  2006 VTi Prosmatec 1.8 i-VTEC for...,"1,650,000"
2008,"180,000",Petrol,1300,Manual,Honda City  2008 i-DSI,"1,450,000"
2019,"74,190",Hybrid,1200,Automatic,Nissan Note  2019 E-Power Black Arrow Edition ...,"4,395,000"
2018,"35,000",Petrol,1000,Automatic,Toyota Vitz  2018 Jewela Smart Stop Package 1....,"3,350,000"
2019,"75,584",Hybrid,1200,Automatic,Nissan Note  2019 E-Power Black Arrow Edition ...,"4,295,000"
2019,"44,000",Petrol,1000,Automatic,Toyota Vitz  2019 F Limited II 1.0,"3,195,000"
2015,"167,000",Petrol,1300,Manual,Toyota Corolla  2015 GLi 1.3 VVTi,"2,540,000"
2016,"95,345",Hybrid,1500,Automatic,Honda Vezel  2016 Hybrid Z,"5,195,000"
2019,"65,828",Petrol,660,Automatic,Daihatsu Move  2019 X Limited,"2,750,000"
2010,"296,000",Petrol,1000,Manual,Suzuki Alto  2010 VXR (CNG),"790,000"
2010,"112,000",Petrol,1500,Automatic,Nissan Juke  2010,"2,150,000"
2019,"84,055",Hybrid,660,Automatic,Suzuki Wagon R  2019 Hybrid FZ,"2,695,000"
1995,"150,000",Petrol,1500,Manual,Honda Civic EG 1995 EX,"450,000"
2019,"69,000",Petrol,1000,Manual,Suzuki Wagon R  2019 VXL,"1,840,000"
2020,"3,000",Petrol,1500,Automatic,Mercedes Benz E Class  2020 E 180 Exclusive fo...,Call
2016,"32,000",Petrol,4600,Automatic,Toyota Land Cruiser  2016 ZX,"3,780,000"
