Year,KM,FuelType,Engine,DriveType,Price,Name,
2015,"140,000",Petrol,1300,Manual,"2,260,000",Toyota Corolla  2015 GLi 1.3 VVTi Special Edit...,
2016,"63,539",Petrol,1800,Automatic,3200000,"Honda Civic  2016 VTi Oriel Prosmatec 1.8 i-VT...
8.6/10",
2015,"104,900",Petrol,1800,Automatic,"2,950,000",Toyota Corolla  2015 Altis Grande CVT-i 1.8 fo...,
2019,"56,000",Petrol,1800,Automatic,4200000,Toyota Corolla  2019 Altis Grande CVT-i 1.8 fo...,
2009,"180,000",Petrol,1000,Automatic,"1,875,000",Toyota Belta  2009 X Business A Package 1.0 fo...,
2011,"109,000",Petrol,1600,Automatic,"2,390,000",Toyota Corolla  2011 GLi Automatic 1.6 VVTi fo...,
2011,"90,000",Petrol,1600,Automatic,2400000,Toyota Corolla  2011 Altis Cruisetronic 1.6 fo...,
2011,"71,000",Petrol,1800,Automatic,"5,650,000",Mercedes Benz C Class  2011 C200,
2022,"2,100",Diesel,2800,Automatic,"9,575,000",Toyota Hilux  2022 Revo V Automatic 2.8,
2011,"64,508",Petrol,1800,Automatic,5500000,Mercedes Benz C Class  2011 C200,
2021,"5,100",Petrol,1600,Manual,"3,850,000",Toyota Corolla  2021 Altis Manual 1.6,
2021,"3,100",Petrol,1600,Automatic,"4,850,000",Toyota Corolla  2021 Altis Automatic 1.6,
2006,"125,000",Petrol,1300,Manual,"1,750,000",Toyota Corolla 9th Generation 2006 GLi 1.3 for...,
2015,"50,000",Petrol,1800,Automatic,3500000,Toyota Corolla  2015 Altis CVT-i 1.8,
2005,"150,000",Petrol,1600,Automatic,"1,165,000",Honda Civic Eagle Eye 2005 VTi Prosmatec 1.6 f…,
2018,"41,000",Petrol,1000,Manual,"1,980,000",Suzuki Cultus  2018 VXL,
2012,"88,000",Petrol,1300,Manual,"2,050,000",Toyota Corolla  2012 GLi 1.3 VVTi,
2021,"65,000",Petrol,1200,Automatic,"3,375,000",Honda City  2021 1.2L CVT,
2010,"190,222",Petrol,1000,Manual,"825,000",Suzuki Cultus  2010 VXRi,
